trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
48,False,"{'a': 0.4, 'e': 0.0426287951671541}",20,8,0.8428881520304206,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.4, 'e': 0.04049735540879639}",25,8,29.389879502724227,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.4, 'e': 0.03847248763835657}",30,16,23.85883020937022,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.4, 'e': 0.03654886325643874}",30,16,28.122604775473057,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.4, 'e': 0.0347214200936168}",20,4,-14.63183582250366,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.4, 'e': 0.03298534908893595}",25,16,13.924682146226804,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.4, 'e': 0.03133608163448915}",20,2,2.2194841896140702,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
55,False,"{'a': 0.4, 'e': 0.029769277552764692}",20,14,9.574172277475302,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.028280813675126457}",25,13,23.300960031233004,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.4, 'e': 0.026866772991370132}",20,12,14.994093794119522,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.4, 'e': 0.025523434341801626}",30,11,15.85669840580605,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.4, 'e': 0.024247262624711545}",20,16,5.187634242364927,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.4, 'e': 0.023034899493475966}",20,13,13.18139707387483,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.4, 'e': 0.021883154518802166}",20,3,27.666331387642533,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.4, 'e': 0.020788996792862058}",25,16,16.25530323680208,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.4, 'e': 0.019749546953218955}",25,13,27.494530829695055,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.4, 'e': 0.018762069605558006}",20,0,33.8056808706628,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.4, 'e': 0.017823966125280106}",30,20,21.969988641532535,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.4, 'e': 0.0169327678190161}",25,19,9.91660534577334,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.4, 'e': 0.016086129428065293}",35,21,29.648795008310948,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.4, 'e': 0.015281822956662028}",25,12,23.129403033185778,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.4, 'e': 0.014517731808828926}",20,16,8.83717252025263,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.4, 'e': 0.013791845218387479}",25,11,24.71841399169589,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.4, 'e': 0.013102252957468105}",20,10,19.721720381161166,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.0124471403095947}",35,23,12.36473347618858,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
